agent_type,p01,p02,p03,p04,loss
TMT,0.437628563069358,0.6221050024733381,0.5012648827654446,0.23363332130554224,0.0012784643929902824
FPCT,0.43785000344090325,0.6284716286085593,0.47166905266262676,0.23131402993496641,0.0015255362956408764
FPCT,0.4379398772480794,0.6320973139941144,0.45569845150345356,0.22980031649632804,0.0016897744508126307
FPCT,0.4380235553780239,0.6346767261553353,0.43761825749211386,0.1891736631514711,0.0016910220285948371
FPCT,0.4382135900959885,0.6310984752452322,0.45496810942566246,0.23430309191769436,0.0017611922449932071
FPCT,0.4378015271934203,0.6262790581574003,0.5044678935304084,0.3992482928057297,0.0018587228196748084
FPCT,0.4374699143625895,0.6325268752314637,0.48302771496086255,0.24828366035405824,0.0021240722736048357
FPCT,0.44503683341882844,0.5409957885767449,0.6938068318776052,0.3563152767476459,0.029117027317397848
FPCT,0.44517118873454037,0.5351701667219171,0.1509560318228817,0.4109077376526358,0.050122491494996944
FPCT,0.44326878887193744,0.0,1.0,1.0,0.06274017441292278
FPCT,0.4409456520635613,0.4102724766669909,0.7087385750338132,0.5371520394308552,0.06447737031708084
FPCT,0.4523219327089536,0.696497673545099,0.0,0.5963084402506447,0.06595728332899323
FPCT,0.4391022761875006,0.046818198350574214,1.0,0.26348494317677684,0.0679659988350871
FPCT,0.4289462115557724,0.7863766592941609,0.237992194368393,0.0,0.07203635606368565
FPCT,0.453354654601946,0.646569471953428,0.0903476462601363,0.6083247800566784,0.07513574066839214
FPCT,0.454353026301788,0.5965534667352812,0.40162790116279834,0.35936007983631874,0.0839901174511763
FPCT,0.4518245779048969,0.0,0.9528656308107198,1.0,0.09116892466869805
FPCT,0.45380105917020025,0.4843149523664146,0.6059935291297277,0.24356980810030407,0.09627821645844936
FPCT,0.4438208206147855,0.7076543116545512,0.8412578742445604,0.32504611124198796,0.09938391862474165
FPCT,0.4242031621941366,0.5816351764966486,0.44188499139594006,0.3769663800331835,0.09964933997119736
FPCT,0.4326822708228551,0.867006247488494,0.29749168691134,0.21229516175496466,0.11857851151558775
FPCT,0.45963900412464465,0.6043011367504115,0.3617879271077884,0.38406213674778544,0.12948625208379186
FPCT,0.42877756227668024,1.0,0.0,0.0,0.13250903540678075
FPCT,0.4475212938057881,1.0,0.0,0.0,0.14106181031898987
FPCT,0.46069332710134153,0.5501304082835524,0.3711788691840373,0.4292050613263242,0.14359628622804058
FPCT,0.41541084376616594,1.0,0.0,0.0,0.2912983456952686
FPCT,0.4186482084517909,0.8108052191778838,1.0,0.0,0.2920524986087036
FPCT,0.4138761221518792,1.0,0.0,1.0,0.3208846716335323
FPCT,0.48146535474571406,0.5442626349135269,0.4419967493818974,0.43478098243440094,0.32653755907131365
FPCT,0.4844980547093427,0.4798359707739055,0.2870284861465727,0.48377818358216296,0.35194109829917924
FPCT,0.40826336654306955,0.694080338831049,0.877794617749811,0.15445537239215923,0.3925092160314536
FPCT,0.4910623875781365,0.28081629047946033,0.10121012058784626,0.36383298727585456,0.39881300764175004
FPCT,0.41629048264762947,0.9377795243298457,1.0,0.0,0.40937024170123815
FPCT,0.4934135917788564,0.5898419640160623,0.22421196229457396,0.3558129562773149,0.4123306613805351
FPCT,0.49556636179785973,0.0,0.5577484045277993,1.0,0.4268740849073573
FPCT,0.4967773676241786,0.5208117044594367,0.44310589589820876,0.43634967044881806,0.43365112026236413
FPCT,0.5010707712246167,0.44987234860577363,0.3319189004616315,0.4516855241885055,0.45816751120438864
FPCT,0.4930901877352667,1.0,0.09977683093986511,0.9147357753830447,0.4615713335570642
FPCT,0.5020345984403705,0.0,0.0,1.0,0.4634603689192063
FPCT,0.40717491363806413,0.9489346310170708,0.0,1.0,0.4756298923525793
FPCT,0.5049624551449838,0.5186384945041564,0.4230882033509288,0.45456057776714626,0.4777395631680423
FPCT,0.4103519264587778,0.544806937259421,0.4732694762741861,0.4112253776105072,0.4778802247998589
FPCT,0.415829975724909,0.43363372889335833,0.31397733008396356,0.6332083124067036,0.484882494195747
FPCT,0.5331488665756815,0.0,1.0,1.0,0.5746790819971442
FPCT,0.5262785513317836,1.0,0.1121207711146553,0.0,0.5758065805274726
FPCT,0.5532567406297184,0.4021582862086601,0.24081790966994937,0.38980811603725063,0.609180442212056
FPCT,0.40155793126440725,0.8877252831924931,0.371856210244973,0.5585244123654747,0.6140330150195643
FPCT,0.5658688520623016,0.4960705934511392,0.2972695514265419,0.6690304049723076,0.6224214636810685
FPCT,0.5665166236427643,0.3599929492874919,0.1564827812636122,0.7671189215230619,0.6229742599306222
