agent_type,p01,p02,p03,p04,loss
TMT,0.25245123623761023,0.6454136154055431,0.5442339895134347,0.5816071424114111,0.007668167978488909
FPCT,0.2553629947377193,0.5610343359715086,0.8386735686824307,0.7998345125917333,0.018619149853959363
FPCT,0.2589186349068254,0.8618609487046676,0.13906271931692937,0.5085876442541839,0.020218262689699812
FPCT,0.2592425113140041,0.6794383602749288,0.5038893926609607,0.48219894321215817,0.022010470675907154
FPCT,0.24155811545392092,0.7028258585633359,0.4596776749129073,0.4542224639802462,0.022263554523306375
FPCT,0.24182590619203911,0.7638054283467671,0.2981839820874148,0.3583210902215671,0.022754579191803116
FPCT,0.24057739772282757,1.0,0.0,0.06185724205341642,0.031246334063023767
FPCT,0.2522742411347164,1.0,0.07672682734199976,0.5985029356497105,0.034403382882230604
FPCT,0.2390111172508983,0.7743930719850282,0.3135067056436742,0.30129326004308105,0.037261219591086636
FPCT,0.240711801445678,0.6844495887018671,0.42952283790113427,0.42555100608314766,0.0399786845107188
FPCT,0.24388111562776274,0.5886326382487707,0.691491888273952,0.20620199160321256,0.04052853688214201
FPCT,0.24599496696567993,0.5768684153098325,0.6522187461682125,0.47028219381302455,0.04571830086754977
FPCT,0.24907203789706056,0.5463135410409631,0.6664698029484745,0.6614769351131382,0.057832938055682785
FPCT,0.25601972191547623,0.8876132092824247,0.29034597195144274,0.5217242989210622,0.06013859871449735
FPCT,0.2670801695809662,0.802591774648556,0.1839074742324565,0.2848716160606152,0.0626587036117096
FPCT,0.26730731284921305,0.7471172348992576,0.3052815282647196,0.4006841836855712,0.06460235064207277
FPCT,0.23600073617609743,1.0,0.0,0.0,0.06709832340483372
FPCT,0.26904476238638053,0.6469466720709485,0.4664898240394936,0.46911525357088635,0.080819313527969
FPCT,0.2334585164419168,0.7673898528317691,0.35610342819240814,0.3242766530878214,0.08464531248489186
FPCT,0.27009294019777264,0.5432412985407714,0.9441665169913532,0.9061469120222535,0.08914094378887974
FPCT,0.26959993971697715,0.6025462056842171,0.5165103566919907,0.5161719517227172,0.0916493795464623
FPCT,0.26643375607004594,0.8235844207718586,0.3902379323630804,0.460824864444241,0.09734954154306731
FPCT,0.27161402633915455,0.634359658841793,0.498396450847656,0.48380008245614775,0.09845553891769138
FPCT,0.26638243219890084,0.5929871622906215,0.2656233665345136,0.5377089562017606,0.10362927459828956
FPCT,0.23627313078188694,0.6246871517147959,0.5113769612400063,0.668436939253003,0.10518938066638972
FPCT,0.27362206832550556,0.6208263644970344,0.5337118760986661,0.5095754488997236,0.11303276779529121
FPCT,0.2720306580839646,0.544341997095441,0.6163121609059432,0.5733357005418784,0.11703700519739055
FPCT,0.2743530521366866,0.6612118385104235,0.6204494314516608,0.7106847054911718,0.11765997778689422
FPCT,0.2749752640365112,0.6234168270269326,0.5182741375593807,0.5149649229467947,0.12276707817329767
FPCT,0.24993993615442417,0.4745421744398881,0.5946516051581752,0.6020827807954554,0.14777677313002105
FPCT,0.27847943527124147,0.575734785137131,0.574914708692335,0.5402836991991159,0.15362602013039275
FPCT,0.28017760305138445,0.6722213920177897,0.478866254476029,0.8000767692217655,0.15809897050019345
FPCT,0.2781831087975489,0.9038387114250624,0.2102699040912508,0.0,0.16570566371152712
FPCT,0.2802708087464135,0.7738672982704745,0.0428834704020343,0.07951312063560723,0.1658221027217152
FPCT,0.28052144310536653,0.5913911616790392,0.5537455603445159,0.5233266477820254,0.16620120342392228
FPCT,0.2799218683548127,0.7483121096785137,0.4617400605149564,0.5899509552960649,0.1669518117700769
FPCT,0.28102371797536396,0.6188592178580425,0.5211807675514748,0.5511726079470423,0.16712435362436087
FPCT,0.22818211528676896,0.6954322505880987,0.4320150994937585,0.6161757513387545,0.16929852914470053
FPCT,0.2617498086895247,0.38424580199753877,0.5324661571901652,0.5953825832020719,0.17270146150972804
FPCT,0.2781379761527282,0.9806738182464585,0.12262927181094657,0.10882065727817747,0.17353643058066673
FPCT,0.24026124828239898,0.521484091908658,0.603935145312825,0.675926811446677,0.17539086182586985
FPCT,0.2815521051577435,0.5389448582270095,0.7360153307610622,0.704830218296232,0.17609346080262941
FPCT,0.2820165575235204,1.0,0.0,0.0,0.17706004763816252
FPCT,0.2831146459074454,0.6088762141468896,0.5393352998040161,0.5243758055206853,0.1830490446630723
FPCT,0.2838368885249555,0.6037467051130675,0.5420244544761038,0.5362891915014082,0.18878389553403557
FPCT,0.2845302356413301,0.8504991868300324,0.0,0.3806370998823534,0.19138909711946553
FPCT,0.25478765908219725,0.8818879327660633,0.6041686604201102,0.7104045754624706,0.19313419956311256
FPCT,0.2704680061813518,0.11789220124662847,0.9226887480585871,0.8237180715320114,0.2032972880855754
FPCT,0.27590887199334674,0.34928811501345297,0.14309207375020677,0.17767415164369493,0.20694413103663142
FPCT,0.28677612291626,0.5792442009934011,0.5796225913990022,0.567523692969181,0.21156562453113917
FPCT,0.2880752931866226,1.0,0.0,0.0,0.2214846746109266
FPCT,0.28833908839441696,0.5887191861671024,0.547426007443556,0.5275491142458046,0.2222466414448113
FPCT,0.22385121785509876,0.7724646442543438,0.2982718997941245,0.3887731551846122,0.2375562200600501
FPCT,0.29066759490480165,0.5707061089850647,0.5919344280185048,0.5819602648891539,0.23904396369544928
FPCT,0.2869790543441584,0.37458044272368624,0.7113677429956378,0.5873450831061153,0.2400401692946354
FPCT,0.22385707146775102,0.8495901339172853,0.1483725062522856,0.20543670045092777,0.25190343780706603
FPCT,0.2208500153369906,0.8471248597360637,0.30383516703248226,0.4189023678530699,0.2663820371145612
FPCT,0.24784914247169326,0.3688675262149249,0.73061555119754,0.8509724995263809,0.2708367650299497
FPCT,0.22173238678512863,1.0,0.0,0.3324918546512573,0.2764423590999122
FPCT,0.29832903786124,0.6371884282035758,0.48500341247744977,0.4863684700686541,0.2865580134231907
FPCT,0.2986893582898249,0.6020155346248998,0.5108662024413091,0.5107588608883945,0.2900065997838364
FPCT,0.30081346647850293,0.5717811975171282,0.5874003215419794,0.5671105882602439,0.30346111028361133
FPCT,0.28803480271648974,0.8666005131997456,0.5962805365095318,0.6948736449721001,0.31230003401073914
FPCT,0.3033518826316926,0.5928935749294142,0.37360706709727004,0.6801466269947565,0.319223544482649
FPCT,0.29778708733707604,1.0,0.1917729034073114,0.0,0.3222992551482204
FPCT,0.22329954669222327,0.8980134777837331,0.0,0.06400203465683951,0.3338709110992478
FPCT,0.3058966927430876,0.8037064616225673,0.3869290518029717,0.49370347570745615,0.3395207723028804
FPCT,0.23409833990126078,0.5114773112029711,0.5158354899281283,0.44638190644837805,0.3428251150963627
FPCT,0.3091913819794367,0.5097172335042691,0.715240430360075,0.9520940146462514,0.3503715892556257
FPCT,0.3112455006886737,1.0,0.0,0.27426588755357934,0.36085436967621126
FPCT,0.31177916584553544,0.532846791126729,0.5986179717781748,0.5224051234905385,0.36260017021987745
FPCT,0.3121203396304227,0.0,1.0,1.0,0.37037212142063863
FPCT,0.216400754854395,1.0,0.2043902299576026,0.19173221007729846,0.37091395590862025
FPCT,0.3149747453526769,0.5044279340839353,0.6945964886134487,0.6683868779744792,0.37730163193595406
FPCT,0.31443280561887654,0.0,1.0,1.0,0.3798926437762916
FPCT,0.21611739832815388,0.7944093881897619,0.3006815663841932,0.492896330910903,0.3815456795383441
