agent_type,p01,p02,p03,p04,loss
TMT,0.250299814234049,0.7343338636530332,0.3944497840053317,0.21156893314113012,0.00045320134816501486
FPCT,0.25015081332379935,0.7022489829878724,0.4739356446871363,0.5153304455519092,0.0007480384719103225
FPCT,0.25013957072894843,0.6839549899906274,0.5546354828859738,0.502412475461443,0.0013595811648616043
FPCT,0.24944573438503545,0.6784378459164467,0.5737876082547332,0.5467655874260784,0.0014247552243044932
FPCT,0.24877026007738737,0.6699021334641971,0.597822493622848,0.6020093892106113,0.0015960831587016444
FPCT,0.24703290462695848,0.661662964334493,0.6522301611137096,0.5879040170883543,0.0038555261422761346
FPCT,0.2483063545541969,0.7010796604720073,0.3713851991852948,0.4362275504261584,0.010106598097636959
FPCT,0.2565928976766138,0.7302970873392326,0.30855684895896207,0.5140376757246072,0.013988058834304675
FPCT,0.2583843089250846,0.681964111510541,0.49812959482108377,0.2136793692198987,0.01838198463424287
FPCT,0.2535324832560027,0.7219251205170503,0.5566910625610889,0.49661103129863304,0.018623066430741245
FPCT,0.24140217761857025,0.7448741896338087,0.4172577324603741,0.23311767088440016,0.021816208696281005
FPCT,0.25998393114835416,0.7226771296827682,0.36947648493308705,0.21872892033142033,0.024636863585065543
FPCT,0.24414543100542008,0.7484964806228016,0.23855578077620823,0.4632890850099722,0.02759360280079687
FPCT,0.26122051577960986,0.9229714280831917,0.0047316820342196975,0.3790807919950879,0.029152913205262147
FPCT,0.2616015132079228,0.7579293432729846,0.38214473170747154,0.4683073748641614,0.03697478379196375
FPCT,0.24632601798541776,0.748740168716316,0.1700691033900092,0.16887156956942237,0.043318464118712194
FPCT,0.23822830621074048,0.8547529098351417,0.21912908707343717,0.0,0.04530526348507106
FPCT,0.25924274843155726,0.5816415489240199,0.5790454897945896,0.4468404822376856,0.046466030795279036
FPCT,0.26618118685174386,0.9210862001640272,0.0,0.0,0.05670739770544178
FPCT,0.24377778995760382,0.7599916231996598,0.609456150012036,0.3502582168208651,0.05808992554568729
FPCT,0.26591694334875715,0.698679541504863,0.6817625844580951,0.5794769343364549,0.08248275661869857
FPCT,0.23318777033009672,0.7544713370069808,0.43820132140350276,0.24856439034384548,0.0859087842613277
FPCT,0.27058323545843727,0.7096798299811233,0.34195871948550327,0.17772587927833416,0.08788682863503287
FPCT,0.2705064278311236,0.7157371073940814,0.17639961605537885,0.18454293000670982,0.09882771286393399
FPCT,0.2361077928435611,0.7773539173013443,0.15103263625879348,0.15987791680729496,0.11502794967789982
FPCT,0.24282092233521924,0.5208729374892598,0.7207344117706198,0.6119028092524741,0.11532810055258465
FPCT,0.27219888753573585,0.5050655363180718,0.4756617785659233,0.546218929338991,0.14008853157487977
FPCT,0.2779774784223302,0.7108078849223782,0.20549118530246369,0.3293156605884936,0.1468067841922983
FPCT,0.2502326160579162,0.5456456114692183,0.2600059314383866,0.2264901668115582,0.1569720018211591
FPCT,0.2798489995375881,0.6292153384288092,0.5269067650149495,0.488828361813331,0.15725863079099184
FPCT,0.28049139299579684,0.7107125188140077,0.39345929761516174,0.36782088726077694,0.16003500503310922
FPCT,0.2816959813927336,0.7055290602889494,0.37455950261257653,0.5326206489314764,0.16900847266898653
FPCT,0.2822614049164176,0.6950451924420529,0.3114090714030865,0.15154827204799204,0.17497079430131807
FPCT,0.2255723634629372,0.7632618280398645,0.45752368478144523,0.2870668050761114,0.18363258053538034
FPCT,0.2849983292884047,0.7674667960562842,0.16483911341771526,0.1875949071299336,0.19416406760252222
FPCT,0.28921651326003733,0.6932347088831816,0.2621398455331599,0.24090007114907896,0.22660972846727936
FPCT,0.2938571823386463,0.704004126796894,0.35726198309228896,0.35271203351221114,0.25669021254645763
FPCT,0.29523168003902395,0.6783695593307424,0.27718522361441955,0.10606442464019461,0.26778643809770686
FPCT,0.29940248566517164,0.6592806100835514,0.4626524066586676,0.5049937892672476,0.2928230126969874
FPCT,0.29962445118433195,0.6673620183639873,0.2626048753420932,0.25605370499710195,0.2959659131146132
FPCT,0.218486261961345,0.7713550954586975,0.47542414043447656,0.3196233769021328,0.303906933737458
FPCT,0.30898443055640124,0.6199371134311471,0.306672958104227,0.2524215174270872,0.3485312486909866
FPCT,0.30978023146954037,0.6590859075781149,0.23841477767626595,0.055621468981597255,0.3519975944122517
FPCT,0.3186913345452317,0.4167996602781373,0.5462149465287499,0.32062691247453506,0.39494186694204236
FPCT,0.23165459147248654,0.4969547666838451,0.5620412382602652,0.5510511036238754,0.40240591949122756
FPCT,0.3213939130333417,0.5514074403389866,0.5130683779942871,0.30436673111046225,0.402702977793706
FPCT,0.3223958907015676,0.6720959806806117,0.3317286530579583,0.34524064449484676,0.4054114971270118
FPCT,0.19978423923342514,1.0,0.7330499132306179,0.0,0.41722434167739103
FPCT,0.32623110584262166,0.6767610831385902,0.33142924091507986,0.4288668000504181,0.4188620887151648
FPCT,0.326131296333914,0.5735787724807008,0.4735724711558824,0.4841414996730755,0.41916032044573204
FPCT,0.3263055704223769,0.63636599870229,0.19386732006862173,0.026502113798165472,0.41984995804596087
FPCT,0.3272892459871388,0.650065354923943,0.38619915565991825,0.3943416303478864,0.42243308598951645
FPCT,0.3289405338604804,0.655473238249908,0.4291955193836831,0.4730903742812419,0.4276126508275072
FPCT,0.3290030870505259,0.6612656193098956,0.4239401386039622,0.43892934377161474,0.427791857660612
FPCT,0.3293248428137815,0.6020119936599133,0.3689546555358174,0.38149645935862925,0.42928021095191404
FPCT,0.3296257189817181,0.6540151702144742,0.3828323173939374,0.43645007082245524,0.42978033228581847
FPCT,0.32913943246670807,0.3977020746439106,0.5923864348132537,0.13905055106739797,0.4304306279972885
FPCT,0.21187108901391158,0.7788401633987292,0.4920681796916897,0.34810860881794226,0.43601328773590714
FPCT,0.3334342155277941,0.6363228199665328,0.3653969641681549,0.3848035509866527,0.4409634525887679
FPCT,0.3359466453951494,0.6525561853628452,0.42355307208949233,0.44159788470718075,0.44753039991269555
FPCT,0.3363733148557143,0.6529453473084244,0.4026195129047342,0.416904259733898,0.44863502935043326
FPCT,0.3361362521174087,0.5457166119538273,0.18613596690111295,0.2107778216362531,0.4488905496344242
FPCT,0.33613782344444887,0.316251678588508,0.5748321826817957,0.5983494540453071,0.4497557626927689
FPCT,0.3383671123207103,0.6476315554731802,0.42782490650334565,0.44624301327215615,0.45357940571988403
FPCT,0.3421212834925297,0.6442773032191728,0.4218237671157959,0.43842439808011935,0.4621859474520149
FPCT,0.0,1.0,0.894236528968991,0.96724429019823,0.46402924558757963
FPCT,0.34375748605817,0.9649844592647463,0.0039765141394444425,0.2744318623549598,0.46598076073732375
FPCT,0.0,1.0,0.9151714737118823,0.0,0.4666828855687357
FPCT,0.3453893493208265,0.6089402501452404,0.14172164582702518,0.0,0.46928201431472294
FPCT,0.34673982876128834,0.637442827460924,0.402831823925967,0.4317932580150652,0.47160835499987636
FPCT,0.3487707542732086,0.640795943005107,0.40404978764689486,0.42954251016099365,0.4753577516367928
FPCT,0.34972185060069017,0.549221959185763,1.0,0.2635025442502691,0.47713942668025955
FPCT,0.35167151540045205,0.6361700884838216,0.40814969246744126,0.43688417029686605,0.48036472965134086
FPCT,0.35413588176733524,0.6360396941265355,0.4140408374412616,0.4325576973854392,0.484294521987297
FPCT,0.0,1.0,0.9383606337157091,1.0,0.4853423532211671
FPCT,0.3582742855730354,0.6291423804022652,0.4060461366629595,0.43485011597135736,0.49030505132504254
FPCT,0.3609488728916772,0.6296961937895263,0.4040911457977437,0.41372072532597404,0.49381312232566565
FPCT,0.0,1.0,0.9608556580513246,1.0,0.4943142015438366
FPCT,0.36422704042004206,0.630195383704028,0.40102504048982746,0.41476000695032134,0.4977536371479737
FPCT,0.0,1.0,0.9871696255900357,0.4685510403787247,0.5017294111865173
FPCT,0.3679339391553226,0.5747401702281196,0.07910314230432536,0.0,0.501872057392728
FPCT,0.0,1.0,1.0,0.0,0.5045386421705261
FPCT,0.0,1.0,1.0,0.0,0.5045386421705261
FPCT,0.37138561714793095,0.5919989053190592,0.4351385468115294,0.45946589213711275,0.5051574873482472
FPCT,0.0,1.0,1.0,0.64935463580888,0.5061214610493207
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FPCT,0.0,1.0,1.0,1.0,0.5068587597453996
FCT,0.0,1.0,1.0,1.0,0.5068587597453996
FCT,0.0,1.0,1.0,1.0,0.5068587597453996
FCT,0.0,1.0,1.0,1.0,0.5068587597453996
LPCT,0.0,1.0,1.0,1.0,0.5068587597453996
LPCT,0.0,1.0,1.0,1.0,0.5068587597453996
LPCT,0.0,1.0,1.0,1.0,0.5068587597453996
LPCT,0.0,1.0,1.0,1.0,0.5068587597453996
LPCT,0.0,1.0,1.0,1.0,0.5068587597453996
LPCT,0.0,1.0,1.0,1.0,0.5068587597453996
LPCT,0.0,1.0,1.0,1.0,0.5068587597453996
LPCT,0.0,1.0,1.0,1.0,0.5068587597453996
LPCT,0.0,1.0,1.0,1.0,0.5068587597453996
LPCT,0.0,1.0,1.0,1.0,0.5068587597453996
LPCT,0.3738563669535673,0.6142727098763421,0.4119671271397282,0.48502241392303036,0.5073501645708487
LPCT,0.37634789175297023,0.6047886424365918,0.46411470120513215,0.48717171387249847,0.5094139566580163
LPCT,0.38794389250576505,0.5894850534457429,0.36404935333582555,0.40438746406160136,0.5172318965147458
LPCT,0.39042050384513605,0.5966366983495303,0.3585079037395444,0.4102719494031129,0.5185718910165094
